algorithm,array_type,size,avg_time_ms,avg_comparisons
MSD Radixsort (with switch),reverse sorted,1900,2.9954,14347
Standard Quicksort,almost sorted,1900,68.2636,1.65623e+006
Standard Mergesort,almost sorted,1900,10.2016,10670
String Quicksort,almost sorted,1900,4.007,60417
String Mergesort,almost sorted,1900,9.6024,11970
MSD Radixsort,almost sorted,1900,3.999,0
MSD Radixsort (with switch),almost sorted,1900,3.1036,29494
Standard Quicksort,random,2000,2.2026,24453
Standard Mergesort,random,2000,10.999,19396
String Quicksort,random,2000,3.2054,30374
String Mergesort,random,2000,10.9984,19351
MSD Radixsort,random,2000,4.5022,0
MSD Radixsort (with switch),random,2000,3.0988,11713
Standard Quicksort,reverse sorted,2000,75.1286,1.999e+006
Standard Mergesort,reverse sorted,2000,11.3054,10864
String Quicksort,reverse sorted,2000,3.4018,36964
String Mergesort,reverse sorted,2000,10.2094,10864
MSD Radixsort,reverse sorted,2000,4.802,0
MSD Radixsort (with switch),reverse sorted,2000,3.4022,15034
Standard Quicksort,almost sorted,2000,76.1622,1.83172e+006
Standard Mergesort,almost sorted,2000,12.4816,11166
String Quicksort,almost sorted,2000,3.9982,67219
String Mergesort,almost sorted,2000,11.0658,12922
MSD Radixsort,almost sorted,2000,5.5098,0
MSD Radixsort (with switch),almost sorted,2000,4.4042,30998
Standard Quicksort,random,2100,2.4032,26137
Standard Mergesort,random,2100,12.4026,20527
String Quicksort,random,2100,3.3984,34571
String Mergesort,random,2100,11.6064,20472
MSD Radixsort,random,2100,4.6028,0
MSD Radixsort (with switch),random,2100,3.0054,12750
Standard Quicksort,reverse sorted,2100,78.8282,2.20395e+006
Standard Mergesort,reverse sorted,2100,10.7996,11456
String Quicksort,reverse sorted,2100,3.4094,34796
String Mergesort,reverse sorted,2100,12.7106,11456
MSD Radixsort,reverse sorted,2100,6.6006,0
MSD Radixsort (with switch),reverse sorted,2100,4.004,15778
Standard Quicksort,almost sorted,2100,81.8018,2.00195e+006
Standard Mergesort,almost sorted,2100,10.2014,11822
String Quicksort,almost sorted,2100,3.5092,72263
String Mergesort,almost sorted,2100,10.1956,13392
MSD Radixsort,almost sorted,2100,4.8016,0
MSD Radixsort (with switch),almost sorted,2100,3.305,32616
Standard Quicksort,random,2200,2.2002,25655
Standard Mergesort,random,2200,12.0052,21649
String Quicksort,random,2200,2.9984,31535
String Mergesort,random,2200,11.6012,21588
